Event_ID,Invitation_QR_ID,Event_Type,Total_Guests,Estimated_Food_Portions,Transport_Mode,Parking_Required,Estimated_Parking_Vehicles,Room_Required,Room_Type,Rooms_Required_Count,Stay_Duration_Days,RSVP_Status,Distance_km,Eco_Plate_Option,Food_Waste_Estimate_kg,Coming_From,Vehicle_Type,Arrival_Time_Slot,Parking_Zone,Checkin_Status
EVFSBK8I,QRAKT9X6,Wedding,331,352,Bike,1,152,1,Double,13,1,Maybe,59,1,51.9,Bangalore,Bike,Evening,D,Not Checked-In
EV8DD93O,QRTL4V9P,Baby Shower,955,998,Car,0,263,0,Single,75,2,Attending,146,1,77.72,Trichy,Car,Afternoon,B,Not Checked-In
EVPY53QO,QR42C2ZW,Birthday,399,368,Car,0,147,1,Family,119,3,Not Attending,57,0,17.43,Bangalore,None,Afternoon,B,Not Checked-In
EVOPGW0F,QR7PQ94K,Wedding,1130,1094,Car,0,500,0,Double,36,0,Attending,17,1,38.1,Coimbatore,Car,Morning,C,Not Checked-In
EVL5ISRU,QRXEEX51,Anniversary,993,960,Bus,1,447,1,,36,0,Attending,157,1,6.7,Erode,Car,Morning,B,Not Checked-In
EVRZ3YH3,QR97BB6U,Housewarming,340,342,Walk,1,118,0,Family,67,3,Not Attending,14,1,30.72,Chennai,None,Afternoon,A,Not Checked-In
EV4086LY,QR05Y5SK,Birthday,771,855,Cab,0,341,0,,149,3,Not Attending,23,0,50.12,Madurai,Bike,Evening,D,Not Checked-In
EVCROBKR,QRN4LOPP,Engagement,836,921,Walk,1,366,1,Double,43,2,Maybe,209,1,59.62,Chennai,Car,Evening,B,Not Checked-In
EV75WBSO,QR0UW655,Engagement,1191,1251,Car,1,559,0,Single,11,2,Maybe,101,1,65.82,Pondicherry,Bike,Morning,B,Not Checked-In
EVMFLNOF,QRDCZ5SN,Wedding,752,809,Car,1,282,0,Single,4,0,Not Attending,273,0,65.93,Pondicherry,Car,Morning,C,Not Checked-In
EV97NA7O,QRRBNAXW,Housewarming,1041,1070,Car,1,332,1,Family,113,2,Not Attending,162,0,77.73,Trichy,Bike,Morning,C,Not Checked-In
EV7IFMJW,QR8CNNBY,Birthday,814,866,Bike,0,214,1,Double,0,0,Maybe,211,0,79.45,Pondicherry,None,Evening,C,Not Checked-In
EVE7BKP5,QRNWC4CV,Birthday,410,483,Bus,1,176,1,Single,128,2,Attending,46,0,70.62,Erode,Car,Morning,D,Not Checked-In
EVKQCCWZ,QR5LDALQ,Housewarming,1078,1089,Walk,0,487,0,Single,110,3,Not Attending,126,0,54.46,Coimbatore,Bike,Evening,B,Not Checked-In
EVG91T8P,QR8VV8FD,Wedding,658,640,Car,0,251,0,Family,101,2,Attending,96,1,73.23,Coimbatore,Car,Evening,A,Not Checked-In
EVCR1450,QRXCG9MH,Birthday,324,362,Car,0,104,1,Family,107,0,Maybe,124,0,65.51,Coimbatore,Car,Evening,B,Not Checked-In
EVHETG5Q,QRK9IKSW,Anniversary,1042,1121,Bike,1,404,1,Single,43,2,Not Attending,260,1,51.03,Erode,None,Evening,D,Not Checked-In
EV92LEQU,QRJP72YF,Baby Shower,762,739,Bus,1,293,0,Family,65,2,Maybe,72,1,51.42,Bangalore,None,Afternoon,D,Not Checked-In
EVIOPJLG,QRFF24XT,Wedding,637,714,Walk,0,230,0,,0,2,Attending,202,0,50.49,Erode,None,Afternoon,A,Not Checked-In
EVVKFXL6,QRSPKWXM,Birthday,1007,1057,Bus,1,305,1,Single,115,1,Not Attending,41,1,65.49,Tirunelveli,None,Evening,D,Not Checked-In
EV4ZDZXN,QRWGBA4F,Housewarming,994,944,Walk,1,423,0,Single,60,3,Attending,76,0,54.92,Pondicherry,None,Evening,C,Not Checked-In
EVCOERWS,QRE47FVZ,Housewarming,369,455,Bike,1,164,0,Family,72,0,Attending,117,0,56.41,Trichy,None,Afternoon,B,Not Checked-In
EVQ4WDFO,QR8UQ7S4,Housewarming,761,715,Bike,0,332,0,Family,41,0,Not Attending,115,0,76.83,Salem,Bike,Morning,C,Not Checked-In
EVDPPNDZ,QRLHSBKZ,Birthday,828,888,Cab,0,277,1,Family,1,0,Attending,68,0,10.94,Coimbatore,Car,Morning,A,Not Checked-In
